entropy,auroc,snr,lr_type,bn,activation,method,trial,path,kmer_length,index
0.106,0.9734623432159424,1.315170301149263,fixedlr,bn,exponential,adversarial,1,/fixedlr/bn/exponential/adversarial/saliency/1,6,0
0.1,0.9719297885894777,1.570054678695761,fixedlr,bn,exponential,adversarial,10,/fixedlr/bn/exponential/adversarial/saliency/10,6,1
1.543,0.9789523482322692,6.810561,fixedlr,bn,exponential,gn,0,/fixedlr/bn/exponential/gn/saliency/0,6,2
1.104,0.9789910316467284,1.7972971,fixedlr,bn,relu,manifold-gn,2,/fixedlr/bn/relu/manifold-gn/saliency/2,6,3
0.958,0.9846493601799012,0.14059757,fixedlr,bn,relu,manifold-gn,3,/fixedlr/bn/relu/manifold-gn/saliency/3,6,4
0.989,0.9846975803375244,0.8718332,fixedlr,bn,relu,manifold-gn,4,/fixedlr/bn/relu/manifold-gn/saliency/4,6,5
1.034,0.9758862257003784,1.670927,fixedlr,bn,relu,manifold-mixup,0,/fixedlr/bn/relu/manifold-mixup/saliency/0,6,6
0.952,0.9817745089530944,0.8403752,fixedlr,bn,relu,manifold-mixup,1,/fixedlr/bn/relu/manifold-mixup/saliency/1,6,7
0.765,0.970379114151001,0.5663956,fixedlr,bn,relu,manifold-mixup,11,/fixedlr/bn/relu/manifold-mixup/saliency/11,6,8
0.553,0.9729868769645692,0.3456568,fixedlr,bn,relu,manifold-mixup,12,/fixedlr/bn/relu/manifold-mixup/saliency/12,6,9
0.351,0.9713433980941772,0.15455067,fixedlr,bn,relu,manifold-mixup,13,/fixedlr/bn/relu/manifold-mixup/saliency/13,6,10
0.929,0.983832836151123,0.91645443,fixedlr,bn,relu,manifold-mixup,3,/fixedlr/bn/relu/manifold-mixup/saliency/3,6,11
1.024,0.9823670387268066,0.9872196,fixedlr,bn,relu,manifold-mixup,4,/fixedlr/bn/relu/manifold-mixup/saliency/4,6,12
1.489,0.9796341061592102,6.14501,fixedlr,bn,exponential,gn,1,/fixedlr/bn/exponential/gn/saliency/1,6,13
0.699,0.973886013031006,0.43560478,fixedlr,bn,relu,manifold-mixup,5,/fixedlr/bn/relu/manifold-mixup/saliency/5,6,14
0.45,0.970141053199768,0.2425753,fixedlr,bn,relu,manifold-mixup,6,/fixedlr/bn/relu/manifold-mixup/saliency/6,6,15
0.429,0.9732534885406494,0.24089271,fixedlr,bn,relu,manifold-mixup,7,/fixedlr/bn/relu/manifold-mixup/saliency/7,6,16
0.369,0.9703370928764344,0.17817138,fixedlr,bn,relu,manifold-mixup,8,/fixedlr/bn/relu/manifold-mixup/saliency/8,6,17
0.453,0.9742323160171508,0.08026476,fixedlr,bn,relu,manifold-mixup,9,/fixedlr/bn/relu/manifold-mixup/saliency/9,6,18
0.967,0.9787694215774536,1.2831745,fixedlr,bn,relu,mixup,2,/fixedlr/bn/relu/mixup/saliency/2,6,19
1.028,0.9791985750198364,1.792662,fixedlr,bn,relu,mixup,3,/fixedlr/bn/relu/mixup/saliency/3,6,20
1.113,0.9811023473739624,1.6291529,fixedlr,bn,relu,mixup,4,/fixedlr/bn/relu/mixup/saliency/4,6,21
1.369,0.9765259623527528,2.7235985,fixedlr,bn,relu,sn,1,/fixedlr/bn/relu/sn/saliency/1,6,22
0.666,0.9703164100646972,0.38763788,fixedlr,bn,relu,sn,11,/fixedlr/bn/relu/sn/saliency/11,6,23
1.1,0.984410285949707,1.5888255,fixedlr,bn,exponential,gn,10,/fixedlr/bn/exponential/gn/saliency/10,6,24
1.043,0.9808331727981568,1.6313494,fixedlr,bn,relu,sn,2,/fixedlr/bn/relu/sn/saliency/2,6,25
1.197,0.9778931140899658,2.1646662,fixedlr,bn,relu,sn,3,/fixedlr/bn/relu/sn/saliency/3,6,26
1.357,0.9792497158050536,2.3956144,fixedlr,bn,relu,sn,4,/fixedlr/bn/relu/sn/saliency/4,6,27
0.713,0.970737099647522,0.4922105,fixedlr,bn,relu,sn,7,/fixedlr/bn/relu/sn/saliency/7,6,28
0.711,0.9739680290222168,0.5535949,fixedlr,bn,relu,sn,8,/fixedlr/bn/relu/sn/saliency/8,6,29
0.796,0.9736804962158204,0.5166304,fixedlr,bn,relu,sn,9,/fixedlr/bn/relu/sn/saliency/9,6,30
1.176,0.9828555583953856,1.5296599,fixedlr,bn,relu,standard,0,/fixedlr/bn/relu/standard/saliency/0,6,31
1.054,0.983157217502594,0.84265,fixedlr,bn,relu,standard,1,/fixedlr/bn/relu/standard/saliency/1,6,32
1.141,0.9783564805984496,1.9645103,fixedlr,bn,relu,standard,2,/fixedlr/bn/relu/standard/saliency/2,6,33
1.033,0.9797866940498352,1.585725,fixedlr,bn,relu,standard,4,/fixedlr/bn/relu/standard/saliency/4,6,34
1.035,0.983619749546051,1.3019979,fixedlr,bn,exponential,gn,11,/fixedlr/bn/exponential/gn/saliency/11,6,35
0.112,0.9737629890441896,1.0923279541315083,fixedlr,nobn,exponential,adversarial,0,/fixedlr/nobn/exponential/adversarial/saliency/0,6,36
0.096,0.976607084274292,0.98874671419133,fixedlr,nobn,exponential,adversarial,1,/fixedlr/nobn/exponential/adversarial/saliency/1,6,37
0.096,0.9768683910369872,1.1181758003873108,fixedlr,nobn,exponential,adversarial,10,/fixedlr/nobn/exponential/adversarial/saliency/10,6,38
0.098,0.9741109609603882,1.0377407608219855,fixedlr,nobn,exponential,adversarial,11,/fixedlr/nobn/exponential/adversarial/saliency/11,6,39
0.1,0.9761703610420228,1.0454331834487385,fixedlr,nobn,exponential,adversarial,12,/fixedlr/nobn/exponential/adversarial/saliency/12,6,40
0.108,0.9789389371871948,1.1738745680100529,fixedlr,nobn,exponential,adversarial,13,/fixedlr/nobn/exponential/adversarial/saliency/13,6,41
0.105,0.9761673212051392,1.0937020253655618,fixedlr,nobn,exponential,adversarial,14,/fixedlr/nobn/exponential/adversarial/saliency/14,6,42
